Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Die Augen der Laura Mars”,"Faye Dunaway, Tommy Lee Jones, Rene Auberjonois, Brad Dourif, Raul Julia, Robert Ridgely",Columbia Pictures,1978,99 min.,414,39
“Die Beverly Hillbillies sind los”,"Erika Eleniak, Cloris Leachman, Lily Tomlin, Lea Thompson, Dolly Parton, Rob Schneider, Dabney Coleman, Kevin Connolly, Zsa Zsa Gabor",20th Century Fox,1993,89 min.,,582
“Die Bluthochzeit”,"Armin Rohde, Uwe Ochsenknecht",Constantin Film,2005,87 min.,,1168
“Die Bourne Identität”,"Matt Damon, Franka Potente, Chris Cooper, Walt Goggins, Julia Stiles",Universal Pictures,2002,114 min.,,20/ Kauf
“Die Bourne Verschwörung”,"Matt Damon, Franka Potente, Julia Stiles",Universal Pictures,2004,104 min.,,265/ Kauf
"“Die Braut, die sich nicht traut”","Julia Roberts, Richard Gere, Joan Cusack, Laurie Metcalf",Touchstone Pictures/ Paramount Pictures,1999,111 min.,220,1269
“Die Chroniken von Narnia – Prinz Kaspian von Narnia”,"Warwick Davis, Tilda Swinton",Walt Disney Pictures,2008,144 min.,,1235
“Die drei Tage des Condor”,"Robert Redford, Faye Dunaway, Max von Sydow",Paramount Pictures,1975,111 min.,,1170
“Die Eiskönigin – Völlig unverfroren”,,Walt Disney Pictures,2013,102 min.,,Kauf (BD)
“Die Entführung der U-Bahn Pelham 123”,"Denzel Washington, John Travolta, Luis Guzmán, John Turturro, Ramon Rodriguez, James Gandolfini, Jason Butler Harner",Columbia Pictures / Metro Goldwyn Mayer,2009,104 min.,,Kauf (BD)
“Die Erbschleicher”,"Beverly D’Angelo, Judge Reinhold, Beau Bridges",Propaganda Films,1990,91 min.,245,
“Die fabelhaften Baker Boys”,"Jeff Bridges, Beau Bridges, Michelle Pfeiffer, Jennifer Tilly, Xander Berkeley",20th Century Fox,1989,106 min.,475,726
“Die Familie Stone – Verloben verboten!”,"Claire Danes, Diane Keaton, Rachel McAdams, Dermot Mulroney, Craig T. Nelson, Sarah Jessica Parker, Luke Wilson",20th Century Fox,2005,99 min.,,573
“Die Firma”,"Tom Cruise, Gene Hackman, Ed Harris",Paramount Pictures,1993,148 min.,345,303
“Die Fliege”,"Jeff Goldblum, Geena Davis, John Getz",20th Century Fox,1986,91 min.,491,870
“Die Fliege II – Die Geburt einer neuen Generation”,"Eric Stoltz, Daphne Zuniga, John Getz",20th Century Fox,1989,100 min.,344,979
“Die Flucht von Alcatraz”,"Clint Eastwood, Fred Ward, Danny Glover",Paramount Pictures,1979,107 min.,342,693
“Die Fremde in dir”,"Jodie Foster, Terrence Howard, Mary Steenburgen",Warner Bros.,2007,117 min.,,1061
“Die Geheimnisse der Spiderwicks”,"Mary-Louise Parker, Nick Nolte, Andrew McCarthy, Joan Plowright, David Strathairn",Paramount Pictures,2008,92 min.,,1148
"“Die Geister, die ich rief…”","Bill Murray, Karen Allen, Bob Goldthwait, Robert Mitchum, Alfre Woodard, Robert Goulet, Lee Majors, Mary Ellen Trainor",Paramount Pictures/ Universal Pictures,1988,96 min.,365,767
“Die Glücksritter”,"Dan Aykroyd, Eddie Murphy, Jamie Lee Curtis, James Belushi",Paramount Pictures,1983,111 min.,85,792
“Die Hand an der Wiege”,"Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson, Julianne Moore, John de Lancie, Charles Lucia",Hollywood Pictures,1992,106 min.,,1294
“Die Herrschaft des Feuers”,"Christian Bale, Matthew McConaughey, Izabella Scorupco, Gerard Butler, Alexander Siddig, Alice Krige",Touchstone Puctures,2002,98 min.,,18
“Die Hexen von Eastwick“,"Jack Nicholson, Susan Sarandon, Cher, Michelle Pfeiffer, Carel Struycken",Warner Bros.,1986,112 min.,309,Kauf
“Die Himmelsstürmer”,"Andrew McCarthy, Mary Stuart Masterson, Donald Sutherland",TriStar,1985,98 min.,262,1407
“Die Hochzeits-Crasher”,"Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams, Jane Seymour, Henry Gibson, Will Ferrell, Richard Riehle",New Line Cinema,2005,114 min.,,510
“Die Indianer von Cleveland II”,"Charlie Sheen, Tom Berenger, Corbin Bernsen, Dennis Haysbert, Randy Quaid, James Gammon, Omar Epps, Alison Doody, David Keith, Margaret Whitton, Bob Uecker, Jay Leno, Richard Schiff, Rene Russo",Warner Bros.,1994,101 min.,465,
“Die Insel”,"Ewan McGregor, Scarlett Johansson, Djimon Hounsou, Sean Bean, Steve Buscemi, Michael Clarke Duncan, Ethan Phillips, Kim Coates",Warner Bros./ DreamWorks Pictures,2005,130 min.,,463
“Die Jury”,"Matthew McConaughey, Samuel L. Jackson, Sandra Bullock, Kevin Spacey, Oliver Platt, Charles Dutton, Brenda Fricker, Donald Sutherland, Kiefer Sutherland, Patrick McGoohan, Ashley Judd, John Diehl, Chris Cooper (I), Kurtwood Smith, Anthony Heald, M. Emmet Walsh, Robert Zajonc",Warner Bros.,1996,142 min.,407,1016
“Die Killer-Brigade”,"Gene Hackman, Joanna Cassidy, Tommy Lee Jones, John Heard, Dennis Franz, Pam Grier, Ron Dean, Chelcie Ross, Harry Lennix, Wilhelm von Homburg, Thalmus Rasulala",Metro Goldwyn Mayer / Orion Pictures,1989,108 min.,,Digital Copy
“Die Killerhand”,"Devon Sawa, Seth Green",Columbia Pictures,1999,88 min.,337,1542
“Die Klapperschlange”,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence, Isaac Hayes, John Diehl",Metro Goldwyn Mayer,1981,94 min.,372,1646
“Die Legende von Bagger Vance”,"Matt Damon, Will Smith, Charlize Theron, Lane Smith (I), Jack Lemmon, Bernard Hocke",20th Century Fox/ DreamWorks Pictures,2000,122 min.,413,Kauf
“Die letzte Nacht des Boris Gruschenko”,"Woody Allen, Diane Keaton, Harold Gould, James Tolkan",United Artists,1975,81 min.,,
“Die letzte Verrücktheit – Silent Movie”,"Mel Brooks, Marty Feldman, Dom DeLuise, Harold Gould, Barry Levinson, Burt Reynolds, James Caan, Liza Minnelli, Anne Bancroft, Paul Newman",20th Century Fox,1976,84 min.,471,876
"""Die Letzten beißen die Hunde""","Clint Eastwood, Jeff Bridges, Gary Busey, Burton Gilliam, George Kennedy",United Artists,1974,109 min.,,1386
“Die Liga der außergewöhnlichen Gentlemen”,Sean Connery,20th Century Fox,2003,106 min.,,93
“Die Mächte des Wahnsinns”,"Sam Neill, Jürgen Prochnow, David Warner, Charlton Heston, Wilhelm von Homburg",New Line Cinema,1995,92 min.,361,935
“Die Männer ihrer Majestät”,"Matt LeBlanc, Eddie Izzard, Nicolette Krebitz, Edward Fox, Udo Kier, Oliver Korittke, Karl Markovics, Sissi Perlinger",Constantin Film,2001,92 min.,,Kauf
“Die Monster AG”,,Walt Disney Pictures,2001,89 min.,483,189
“Die Mumie”,"Brendan Fraser, Kevin J. O’Connor",Universal Pictures,1999,119 min.,289,Kauf
“Die Mumie kehrt zurück”,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo, Oded Fehr, Dwayne Johnson",Universal Pictures,2001,124 min.,428,Kauf
“Die Muse”,"Albert Brooks, Sharon Stone, Andie MacDowell, Jeff Bridges, Cybill Shepherd, Lorenzo Lamas, Rob Reiner, James Cameron, Martin Scorsese",October Films,1999,92 min.,464,785
“Die nackte Kanone”,"Leslie Nielsen, Priscilla Presley, George Kennedy, Ricardo Montalban, O.J. Simpson, Raye Birk, Al Yankovic, Joe Grifasi, Charlotte Zucker",Paramount Pictures,1988,82 min.,423,700
“Die nackte Kanone 2 ½”,"Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson, Robert Goulet, Anthony James (I), Tim O’Connor (I), Peter Mark Richman, Zsa Zsa Gabor, Al Yankovic, David Zucker",Paramount Pictures,1991,82 min.,423,704
“Die nackte Kanone 33 1/3” ,"Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson, Fred Ward, Anna Nicole Smith, Marc Alaimo, Randall Cobb, David Zucker, Al Yankovic, Shannen Doherty, Olympia Dukakis, James Earl Jones, Raquel Welch",Paramount Pictures,1994,79 min.,330,9
"""Die nackte Wahrheit""","Katherine Heigl, Gerard Butler, Nick Searcy, Kevin Connolly",Columbia Pictures,2009,92 min.,,1447
“Die neun Pforten”,Johnny Depp,Artisan Entertainment,1999,127 min.,331,
“Die Professionals”,"Lee Marvin, Gene Hackman, Sissy Spacek",National General Pictures,1972,82 min.,375,
“Die Prophezeiung”,"Kim Basinger, Jimmy Smits, Rufus Sewell, Christina Ricci, Ian Holm",Paramount Pictures,2000,103 min.,,940
“Die purpurnen Flüsse”,"Jean Reno, Vincent Cassel",Gaumont/Le Studio Canal+/TriStar,2000,101 min.,424,1393
“Die Reise ins Ich”,"Dennis Quaid, Martin Short, Meg Ryan, Robert Picardo",Warner Bros.,1987,114 min.,301,
“Die Ritter der Kokosnuss”,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin",EMI Films,1975,92 min.,,Digital Copy
“Die Royal Tenenbaums”,"Gene Hackman, Anjelica Huston, Gwyneth Paltrow, Ben Stiller, Luke Wilson, Owen Wilson, Danny Glover, Bill Murray, Seymour Cassel",Touchstone Pictures,2001,104 min.,,
“Die schrillen Vier auf Achse”,"Chevy Chase, Beverly D’Angelo, Randy Quaid, Anthony Michael Hall, Eddie Bracken, Brian Doyle-Murray, Miriam Flynn, Eugene Levy, Frank McRae, John Candy, Christie Brinkley, Mickey Jones, John Diehl, Henry Gibson",Warner Bros.,1983,94 min.,,1313
“Die Stunde der Patrioten”,"Harrison Ford, James Earl Jones, Samuel L. Jackson",Paramount Pictures,1992,112 min.,291,69
“Die Teufelin”,"Roseanne Barr, Meryl Streep, Ed Begley Jr., Linda Hunt, A Martinez, Doris Belack",Orion Pictures,1989,95 min.,503,1757
“Die Thomas Crown Affäre”,"Pierce Brosnan, Rene Russo, Denis Leary, Frankie Faison, Faye Dunaway",United Artists/Metro Goldwyn Mayer,1999,109 min.,514,Kauf
“Die Troublemaker”,"Bud Spencer, Terence Hill, Neil Summers, Eva Haßmann",Rialto Film/Tobis,1994,99 min.,,1217
“Die Unbestechlichen”,"Dustin Hoffman, Robert Redford, Jack Warden, Hal Holbrook, Jason Robards, Ned Beatty, Stephen Collins, F. Murray Abraham",Warner Bros.,1976,125 min.,455,
“Die unglaubliche Reise in einem verrückten Flugzeug”,"Peter Graves (I), Lloyd Bridges, Leslie Nielsen",Paramount Pictures,1980,83 min.,339,17
“Die unglaubliche Reise in einem verrückten Raumschiff”,"Robert Hays, Julie Hagerty, Lloyd Bridges, William Shatner, Peter Graves (I), Chuck Connors (I), Raymond Burr, Rip Torn, David Paymer",Paramount Pictures,1982,78 min.,370,296
“Die Vergessenen”,"Julianne Moore, Gary Sinise, Alfre Woodard",Columbia Pictures,2004,87 min.,,386
“Die verrückte Kanone”,"Leslie Nielsen, Judge Reinhold",Viacom Productions,1997,89 min.,16,
“Die verrückten Nachbarn”,"John Belushi, Dan Aykroyd",Columbia Pictures,1981,91 min.,285,287
“Die Verurteilten”,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, David Proval",Columbia Pictures/ Castle Rock Entertainment,1994,136 min.,,Kauf
“Die Welle”,"Jürgen Vogel, Maren Kroymann",Constantin Film,2008,102 min.,,1216
“Die Wiege der Sonne”,"Sean Connery, Wesley Snipes, Harvey Keitel, Tia Carrere, Steve Buscemi",20th Century Fox,1993,123 min.,291,324
“Die Wutprobe”,"Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán, Kurt Fuller, January Jones, Woody Harrelson, Rudolph W. Giuliani, Heather Graham, John McEnroe, John C. Reilly",Columbia Pictures,2003,101 min.,,106
“Dinosaurier”,,Walt Disney Pictures,2000,79 min.,,571
“Dirty Harry”,"Clint Eastwood, Andrew Robinson",Warner Bros.,1971,98 min.,,
“Dirty Harry III” (s. “Der Unerbittliche”),,,,,,
“Dirty Harry kommt zurück”,"Clint Eastwood, Pat Hingle",Warner Bros.,1983,105 min.,326,
“Dirty Harry V – Das Todesspiel”,"Clint Eastwood, Liam Neeson, Michael Currie, Jim Carrey, Marc Alaimo, Steven Adler, Duff McKagan, W. Axl Rose, Slash, Izzy Stradlin",Warner Bros.,1988,87 min.,439,
“Dirty Work”,"Jack Warden, Chevy Chase, Adam Sandler, Chris Farley, John Goodman",Metro Goldwyn Mayer,1998,78 min.,263,838
“Disturbia”,"Shia LaBeouf, Carrie-Anne Moss, David Morse",DreamWorks Pictures/ Paramount Pictures,2007,100 min.,,1076
"""D.O.A. – Bei Ankunft Mord""","Dennis Quaid, Meg Ryan, Charlotte Rampling, Daniel Stern, Jane Kaczmarek, Robert Knepper, Brion James",Touchstone Pictures,1988,93 min.,,1707
“Doc Hollywood”,"Michael J. Fox, Julie Warner, Bridget Fonda, Woody Harrelson, David Ogden Stiers, Roberts Blossom, Raye Birk",Warner Bros.,1991,98 min.,473,
“Doctor Dolittle”,Eddie Murphy,20th Century Fox,1998,82 min.,268,
“Dodgeball – A True Underdog Story”,"Vince Vaughn, Ben Stiller, Rip Torn, Alan Tudyk, Hank Azaria, Lance Armstrong, Chuck Norris, William Shatner, David Hasselhoff",20th Century Fox,2004,89 min.,,339
“Dogma”,"Ben Affleck, Matt Damon, Linda Fiorentino, Alan Rickman, Salma Hayek, Chris Rock, George Carlin, Alanis Morissette",Miramax Films,1999,123 min.,397,817
“Donnie Brasco”,"Al Pacino, Johnny Depp, Michael Madsen, Anne Heche, Bruno Kirby",TriStar,1997,120 min.,346,118
“Doppelmord”,"Tommy Lee Jones, Ashley Judd, Bruce Greenwood (I), Roma Maffia",Paramount Pictures,1999,100 min.,358,
“Dr. Dolittle 2”,"Eddie Murphy, Raven-Symone, James Avery, Kevin Pollak, Jeffrey Jones",20th Century Fox,2001,84 min.,447,
“Dr. T & the Women”,"Richard Gere, Helen Hunt, Tara Reid, Shelley Long, Laura Dern, Farrah Fawcett, Liv Tyler, Robert Hays",Artisan Entertainment,2000,116 min.,406,898
“Dre13ehn Geister”,"Tony Shalhoub, Matthew Lillard, Shannon Elizabeth, F. Murray Abraham",Columbia Pictures/ Warner Bros.,2001,87 min.,481,
“Driven”,"Sylvester Stallone, Burt Reynolds, Kip Pardue, Til Schweiger, Gina Gershon, Estella Warren, Verona Feldbusch, Jasmin Wagner, Michael Andretti, Cristiano Da Matta, Christian Fittipaldi, Dario Franchitti, Mauricio Gugelmin, Juan Pablo Montoya, Jacques Villeneuve",Warner Bros.,2001,112 min.,449,
“Drop Zone”,"Wesley Snipes, Gary Busey, Yancy Butler, Michael Jeter, Corin Nemec, Kyle Secor, Malcolm Jamal-Warner, Rex Linn, Grace Zabriskie, Sam Hennings, Mickey Jones",Paramount Pictures,1994,101 min.,,Digital Copy
“Duck Tales – Der Film: Jäger der verlorenen Lampe”,,Walt Disney Pictures,1990,71 min.,468,326
“Dudley Do-Right”,"Brendan Fraser, Alfred Molina, Sarah Jessica Parker, Eric Idle, Robert Prosky",Universal Pictures,1999,74 min.,410,
“Duell – Enemy at the Gates”,"Jude Law, Joseph Fiennes, Rachel Weisz, Ed Harris, Bob Hoskins, Ron Perlman",Paramount Pictures,2001,125 min.,411,
“Dumm und Dümmehr”,"Jim Carrey, Jeff Daniels, Rob Riggle, Kathleen Turner, Bill Murray",Universal Pictures / New Line Cinema,2014,109 min.,,Digital Copy
"“Durchgeknallt – Girl, Interrupted”","Winona Ryder, Angelina Jolie, Whoopi Goldberg, Clea DuVall, Jeffrey Tambor, Vanessa Redgrave, Jared Leto, Joanna Kerns, Kurtwood Smith",Columbia Pictures,1999,122 min.,387,
“Düstere Legenden”,"Jared Leto, Robert Englund, Brad Dourif",TriStar,1998,95 min.,366,414
“Düstere Legenden 2 – Final Cut”,"Hart Bochner, Eva Mendes, Rebecca Gayheart",Columbia Pictures,2000,94 min.,481,415
“E-Mail für dich”,"Tom Hanks, Meg Ryan, Dave Chappelle",Warner Bros.,1998,114 min.,287,Kauf
“Easy Rider”,"Peter Fonda, Dennis Hopper, Jack Nicholson",Columbia Pictures,1969,90 min.,510,1280
“Echte Kerle”,"Christoph M. Ohrt, Carin C. Tietze, Tim Bergmann, Oliver Stokowski",Bayerischer Rundfunk / Cobra Film,1996,96 min.,,Digital Copy
“Edge of Tomorrow”,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton",Warner Bros.,2014,113 min.,,Kauf (BD)
“EdTV”,"Matthew McConaughey, Jenna Elfman, Woody Harrelson, Ellen DeGeneres, Rob Reiner, Dennis Hopper, Elizabeth Hurley, Jay Leno",Universal Pictures,1999,118 min.,334,852
“Edward mit den Scherenhänden”,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, Vincent Price, Alan Arkin, Biff Yeager, Robert Oliveri",20th Century Fox,1990,100 min.,,216
“Ein ausgekochtes Schlitzohr”,"Burt Reynolds, Sally Field, Jerry Reed (I), Jackie Gleason",Universal Pictures,1977,90 min.,368,1057
“Ein Chef zum Verlieben”,"Sandra Bullock, Hugh Grant, Dana Ivey, Donald Trump",Warner Bros./Castle Rock Entertainment,2002,97 min.,,71
“Ein Cop und ein Halber”,"Burt Reynolds, Holland Taylor",Universal Pictures,1993,92 min.,,Digital Copy
“Ein einfacher Plan”,"Bill Paxton, Billy Bob Thornton, Bridget Fonda, Brent Briscoe, Gary Cole",Paramount Pictures,1998,115 min.,,1224
”Ein Fisch namens Wanda“,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin",United Artists/ Metro Goldwyn Mayer,1988,103 min.,302,1067
“Ein ganz normaler Held”,"Dustin Hoffman, Geena Davis, Andy Garcia, Joan Cusack, Kevin J. O’Connor, Stephen Tobolowsky, Tom Arnold, Daniel Baldwin, Richard Riehle, Don S. Davis, Chevy Chase",Columbia Pictures,1992,113 min.,434,
“Ein Geschenk des Himmels – Vater der Braut 2”,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams, Kieran Culkin, Eugene Levy",Touchstone Pictures,1995,102 min.,,609
“Ein heißer Coup”,"Paul Newman, Linda Fiorentino, Frankie Faison",Polygram Films/USA Films/Universal Pictures,2000,85 min.,,
“Ein Himmelhund von einem Schnüffler”,"Chevy Chase, Omar Sharif",20th Century Fox,1980,99 min.,509,
“Ein himmlischer Liebhaber”,"Cybill Shepherd, Robert Downey Jr., Mary Stuart Masterson, Christopher McDonald, Marc McClure (I)",TriStar,1989,103 min.,365,313
“Ein hoffnungsvoller Nachwuchskiller”,James Belushi,Promark Entertainment Group,1998,98 min.,243,70
“Ein perfekter Mord”,"Michael Douglas, Gwyneth Paltrow",Warner Bros.,1998,103 min.,240,686
“Ein Richter sieht rot”,"Michael Douglas, Hal Holbrook, Yaphet Kotto, David Proval",20th Century Fox,1983,103 min.,348,Kauf
"""Ein riskanter Plan""","Sam Worthington, Elizabeth Banks, Ed Harris, Anthony Mackie, William Sadler, Kyra Sedgwick",Summit Entertainment,2012,102 min.,,Kauf (BD)
“Ein Satansbraten kommt selten allein”,"John Ritter, Jack Warden",Universal Pictures,1991,87 min.,267,
“Ein seltsames Paar”,"Jack Lemmon, Walter Matthau",Paramount Pictures,1968,101 min.,268,478
“Ein Ticket für zwei”,"Steve Martin, John Candy, Michael McKean, Kevin Bacon, Edie McClurg, Bill Erwin, Troy Evans",Paramount Pictures,1987,89 min.,473,28
“Ein total verrückter Sommer”,"John Candy, John Larroquette",Paramount Pictures,1985,83 min.,272,595
"""Ein unmöglicher Härtefall""","George Clooney, Catherine Zeta-Jones, Geoffrey Rush, Cedric the Entertainer, Edward Herrmann, Richard Jenkins, Billy Bob Thornton, Blake Clark, Bridget Marquardt, Bruce Campbell",Universal Pictures,2003,95 min.,,149
“Ein unmoralisches Angebot”,"Woody Harrelson, Demi Moore, Robert Redford, Oliver Platt, Seymour Cassel, Billy Bob Thornton, Rip Taylor, Robert Zajonc",Paramount Pictures,1993,117 min.,381,608
“Ein Vermieter zum Knutschen”,"Joe Pesci, Rubén Blades",20th Century Fox,1991,86 min.,390,
“Ein verrücktes Paar – Alt verkracht und frisch verliebt”,"Jack Lemmon, Walter Matthau, Ann-Margret, Daryl Hannah, Christopher McDonald",Warner Bros.,1993,99 min.,465,Digital Copy
“Ein Vogel auf dem Drahtseil”,"Mel Gibson, Goldie Hawn, David Carradine, Jeff Corey",Universal Pictures,1989,105 min.,240,Kauf
“Ein wahres Verbrechen”,"Clint Eastwood, Isaiah Washington, James Woods, Denis Leary, Michael McKean, Michael Jeter, Anthony Zerbe, Lucy Liu",Warner Bros.,1999,122 min.,446,974
“Ein Zwilling kommt selten allein”,Dennis Quaid,Walt Disney Pictures,1998,123 min.,249,1332
“Eine fast anständige Frau”,"Kirstie Alley, Bill Pullman, Scott Bakula, Ed O’Neill, Carrie Fisher",Metro Goldwyn Mayer/Columbia Pictures/Castle Rock Entertainment,1990,83 min.,471,
“Eine Hochzeit zum Verlieben”,"Adam Sandler, Drew Barrymore, Steve Buscemi, Jon Lovitz, Billy Idol",New Line Cinema,1998,93 min.,298,759
“Eine Klasse für sich”,"Tom Hanks, Geena Davis, Madonna, Rosie O’Donnell, Megan Cavanagh, David Strathairn, Jon Lovitz, Bill Pullman, Don S. Davis, Téa Leoni, Robert Stanton, Harry Shearer",Columbia Pictures,1992,127 min.,,Digital Copy
“Eine Nacht bei McCool’s”,"Liv Tyler, Matt Dillon, John Goodman, Paul Reiser, Michael Douglas, Richard Jenkins (I)",USA Films,2001,89 min.,426,969
“Eine verhängnisvolle Affäre”,"Michael Douglas, Glenn Close, Anne Archer, Stuart Pankin, Fred Gwynne",Paramount Pictures,1987,114 min.,507,279
“Eine Wahnsinnsfamilie”,"Steve Martin, Mary Steenburgen, Jason Robards, Rick Moranis, Martha Plimpton, Keanu Reeves, Joaquin Phoenix, Rance Howard, Clint Howard",Universal Pictures,1989,118 min.,,182
“Eine wie keine”,"Freddie Prinze Jr., Rachel Leigh Cook, Paul Walker (I), Kieran Culkin, Clea DuVall, Tim Matheson, Sarah Michelle Gellar",Miramax Films,1999,91 min.,384,920
“Eine zweite Chance”,"Sandra Bullock, Gena Rowlands, Michael Paré, Rosanna Arquette",20th Century Fox,1998,109 min.,220,Kauf
“Einmal Himmel und zurück”,"Chris Rock, Chazz Palminteri, Eugene Levy, Frankie Faison, Mark Addy, Jennifer Coolidge",Paramount Pictures,2001,84 min.,467,
“Eiskalte Engel”,"Ryan Phillippe, Sarah Michelle Gellar, Reese Witherspoon, Louise Fletcher, Eric Mabius, Tara Reid",Columbia Pictures,1999,93 min.,323,
“Eiskalte Leidenschaft”,"Richard Gere, Kim Basinger, Uma Thurman",Warner Bros.,1992,119 min.,290,1710
"""El Mariachi""","Carlos Gallardo, Peter Marquardt, Reinol Martinez",Columbia Pictures,1992,81 min.,,Digital Copy
"“Elche, Eis und Erbschaftsärger”","Skeet Ulrich, Natasha Henstridge, Leslie Nielsen",Screen Media Ventures,2001,98 min.,478,
“End of Days – Nacht ohne Morgen”,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak, CCH Pounder, Udo Kier",Universal Pictures,1999,117 min.,442,
“End of Watch”,"Jake Gyllenhaal, Michael Pena, Anna Kendrick",Tobis,2012,104 min.,,Digital Copy
“Enemy Mine – Geliebter Feind”,"Dennis Quaid, Louis Gossett Jr.",20th Century Fox,1985,104 min.,288,392
“Entgleist”,"Clive Owen, Jennifer Aniston, Vincent Cassel, Xzibit",Miramax Films,2005,103 min.,,641
“Er steht einfach nicht auf dich”,"Kevin Connolly, Scarlett Johansson, Bradley Cooper, Justin Long, Ben Affleck, Jennifer Aniston, Jennifer Connelly, Drew Barrymore, Kris Kristofferson, Luis Guzmán",New Line Cinema,2009,124 min.,,1259
“Erin Brockovich”,"Julia Roberts, Albert Finney, Aaron Eckhart, Marg Helgenberger, Tracey Walter, Peter Coyote",Columbia Pictures/ Universal Pictures,2000,126 min.,501,Kauf
“Erkan & Stefan”,"Erkan Maria Moosleitner, Stefan Lust, Alexandra Neldel, Christian Tramitz",Constantin Film,2000,83 min.,418,1418
“Es ist kompliziert..!”,"Simon Pegg, Lake Bell, Rory Kinnear",StudioCanal / BBC Films,2015,84 min.,,Digital Copy
“E.T. – Der Außerirdische” (Special Edition),"Henry Thomas, Dee Wallace-Stone, Drew Barrymore, Peter Coyote, Erika Eleniak",Universal Pictures,1982 (2002),106 min.,,1253
"""Evan Allmächtig""","Steve Carell, Morgan Freeman, John Goodman, Wanda Sykes, Jonah Hill, Molly Shannon, Ed Helms, Jon Stewart",Universal Pictures,2007,91 min.,,1044
“Eve und der letzte Gentleman”,"Brendan Fraser, Christopher Walken, Alicia Silverstone, Sissy Spacek, Rex Linn",New Line Cinema,1999,95 min.,435,
“Even Cowgirls get the Blues”,"Uma Thurman, John Hurt, Keanu Reeves, Roseanne Arnold, Udo Kier",New Line Cinema,1993,92 min.,256,
"""Event Horizon""","Laurence Fishburne, Sam Neill, Kathleen Quinlan, Jack Noseworthy, Sean Pertwee",Universal Pictures,1997,96 min.,,Kauf (BD)
“Evolution”,"David Duchovny, Orlando Jones, Julianne Moore, Seann William Scott, Ted Levine, Dan Aykroyd, Sarah Silverman, John Cho",Columbia Pictures/ DreamWorks Pictures,2001,97 min.,,
“eXistenZ”,"Jennifer Jason Leigh, Jude Law, Willem Dafoe, Ian Holm",Dimension Films,1999,93 min.,446,312
“Exorzist II – Der Ketzer”,"Linda Blair, Richard Burton, Louise Fletcher, Max von Sydow, James Earl Jones, Ned Beatty",Warner Bros.,1977,99 min.,383,
“Extrem... mit allen Mitteln”,"Hugh Grant, Gene Hackman, Sarah Jessica Parker",Castle Rock Entertainment,,109 min.,221,
“Extreme Rage”,"Vin Diesel, Larenz Tate",New Line Cinema,2003,105 min.,,249
“Ey Mann – Wo ist mein Auto?”,"Ashton Kutcher, Seann William Scott, Kristy Swanson, Brent Spiner",20th Century Fox,2000,80 min.,429,
“Eyes Wide Shut”,"Tom Cruise, Nicole Kidman, Sydney Pollack, Sky Dumont, Thomas Gibson (I), Leelee Sobieski",Warner Bros.,1999,153 min.,346,Kauf (BD)
“Fahrstuhl des Grauens”,Huub Stapel,Arcade Pictures,1983,94 min.,,
“Fail Safe – Befehl ohne Ausweg”,"Richard Dreyfuss, Brian Dennehy, James Cromwell, John Diehl, George Clooney, Harvey Keitel, Don Cheadle",Warner Bros.,2000,85 min.,437,
“Falling Down – Ein ganz normaler Tag”,"Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, John Diehl",Warner Bros.,1993,107 min.,487,1040
“Familie Klumps und der verrückte Professor”,"Eddie Murphy, Janet Jackson, Larry Miller, Chris Elliott, Earl Boen, Charles Napier, Kathleen Freeman",Universal Pictures,2000,102 min.,,Kauf
“Fantastic Four”,"Miles Teller, Michael B. Jordan, Kate Mara, Jamie Bell, Toby Kebbell, Reg E. Cathey, Tim Blake Nelson, Dan Castellaneta",20th Century Fox/ Constantin Film,2015,100 min.,,Kauf (BD)
“Fantastic Four: Rise of the Silver Surfer”,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Andre Braugher, Zach Grenier",20th Century Fox/ Constantin Film,2007,88 min.,,1090
“Fast & Furious”,"Vin Diesel, Paul Walker, Jordana Brewster, Michelle Rodriguez, Sung Kang, Marco Rodríguez",Universal Pictures,2009,107 min.,,Kauf (BD)
“Fast Helden”,"Chris Farley, Matthew Perry, Eugene Levy (I), Kevin Dunn (I)",Warner Bros.,1998,86 min.,,1141
“Fast verheiratet”,"Jason Segel, Emily Blunt, David Paymer, Michael Ensign, Rhys Ifans, Molly Shannon",Universal Pictures,2012,119 min.,,1741
