Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Adaption – Der Orchideendieb”,"Nicolas Cage, Tilda Swinton, Meryl Streep, Chris Cooper, Judy Greer, Maggie Gyllenhaal, Brian Cox, John Cusack, Catherine Keener, John Malkovich",Columbia Pictures,2002,110 min.,,100
"""After Earth""","Will Smith, Jaden Smith, Sophie Okonedo, Glenn Morshower",Columbia Pictures,2013,100 min.,,Kauf (BD)
“After the Sunset”,"Pierce Brosnan, Salma Hayek, Woody Harrelson, Don Cheadle, Mykelti Williamson, Rex Linn, Karl Malone, Shaquille O’Neal, Gary Payton, Phil Jackson, Edward Norton",New Line Cinema,2004,93 min.,,348
“Agent 00 – Mit der Lizenz zum Totlachen”,"Leslie Nielsen, Nicollette Sheridan, Charles Durning, Marcia Gay Harden, Barry Bostwick, Elya Baskin, Mason Gamble, Ray Charles, Hulk Hogan, Pat Morita, Alexandra Paul, Mr. T, Eddie Deezen, Clyde Kusatsu, Al Yankovic",Hollywood Pictures,1996,77 min.,,Digital Copy
“Agent Null Null Nix”,"Bill Murray, Alfred Molina",Warner Bros.,1997,91 min.,238,701
“Agent wider Willen”,"Ted Danson, Christopher Lee",Columbia Pictures,1980,91 min.,,196
“Air America”,"Mel Gibson, Robert Downey Jr., Ken Jenkins, Lane Smith, Art LaFleur, Marshall Bell, David Bowe, Michael Dudikoff",TriStar,1990,106 min.,,1288
“Air Borne – Flügel aus Stahl”,"Nicolas Cage, Tommy Lee Jones, Sean Young, Mary Ellen Trainor",Touchstone Pictures,1990,83 min.,,92
“Airheads”,"Brendan Fraser, Steve Buscemi, Adam Sandler, Chris Farley, David Arquette, Michael Richards, Harold Ramis, Lemmy Kilmister, Rob Zombie",20th Century Fox,1994,88 min.,314,Kauf
“Alarmstufe: Rot”,"Steven Seagal, Tommy Lee Jones, Erika Eleniak, Colm Meaney",Warner Bros.,1992,98 min.,280,363
”Alarmstufe: Rot 2“,"Steven Seagal, Kurtwood Smith",Warner Bros.,1995,91 min.,379,1279
“Alien – Das unheimliche Wesen aus einer fremden Welt”,"Sigourney Weaver, John Hurt",20th Century Fox,1979,110 min.,289,Kauf
“Aliens – Die Rückkehr”,"Sigourney Weaver, Lance Henriksen, Bill Paxton",20th Century Fox,1986,131 min.,297,Kauf
“Alien³”,"Sigourney Weaver, Charles Dutton, Charles Dance, Lance Henriksen, Pete Postlethwaite",20th Century Fox,1992,109 min.,422,398
“Alien – Die Wiedergeburt”,"Sigourney Weaver, Winona Ryder, Ron Perlman, Michael Wincott, Brad Dourif",20th Century Fox,1997,104 min.,,374/ Kauf
"""All Inclusive – Willkommen im Paradies!""","Vince Vaughn, Jason Bateman, Jon Favreau, Malin Akerman, Kristen Bell, Kristin Davis, Jean Reno, John Michael Higgins, Ken Jeong",Universal Pictures,2009,113 min.,,Digital Copy
"""Alles erlaubt – Eine Woche ohne Regeln""","Owen Wilson, Jason Sudeikis, Christina Applegate, Richard Jenkins, Larry Joe Campbell, Bruce Thomas, Vanessa Angel, Alyssa Milano",Warner Bros. / New Line Cinema,2011,101 min.,,1552/ Kauf
“Am wilden Fluss”,"Meryl Streep, Kevin Bacon, David Strathairn, John C. Reilly, Benjamin Bratt",Universal Pictures,1994,106 min.,443,1282
“America’s Sweethearts”,"Julia Roberts, Billy Crystal, John Cusack, Catherine Zeta-Jones, Hank Azaria, Christopher Walken, Stanley Tucci, Seth Green, Larry King, Alexander Enberg",Columbia Pictures,2001,99 min.,,Kauf
“American Beauty”,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper (I), Allison Janney, Scott Bakula",DreamWorks Pictures,1999,114 min.,435,Kauf
“American Dreamz – Alles nur Show”,"Hugh Grant, Dennis Quaid, Mandy Moore, Willem Dafoe, Chris Klein, Jennifer Coolidge, Marcia Gay Harden, John Cho, Carmen Electra",Universal Pictures,2006,103 min.,,565
“American History X”,"Edward Norton, Edward Furlong, Beverly D’Angelo, Avery Brooks, Jennifer Lien, Stacy Keach",New Line Cinema,1998,114 min.,394,1083
“American Pie”,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein, Thomas Ian Nicholas, Tara Reid, Seann William Scott, Mena Suvari, Eddie Kaye Thomas, Eugene Levy (I), Clyde Kusatsu",Universal Pictures,1999,91 min.,347,1392
"""American Pie 2""","Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein, Thomas Ian Nicholas, Natasha Lyonne, Tara Reid, Seann William Scott, Mena Suvari, Eddie Kaye Thomas, Eugene Levy, John Cho, Casey Affleck, George Wyner, Jennifer Coolidge",Universal Pictures,2001,100 min.,,
"""American Pie – The Wedding""","Jason Biggs, Seann William Scott, Alyson Hannigan, Eddie Kaye Thomas, Thomas Ian Nicholas, January Jones, Eugene Levy, Deborah Rush, Fred Willard, Angela Paton, Eric Allan Kramer, John Cho, Jennifer Coolidge",Universal Pictures,2003,99 min.,,142
“American Psycho”,"Christian Bale, Reese Witherspoon, Willem Dafoe, Jared Leto",Lionsgate,2000,97 min.,517,798
“American Wildcats”,"Goldie Hawn, Wesley Snipes, Woody Harrelson, LL Cool J",Warner Bros.,1986,101 min.,85,
“Amos & Andrew – Zwei fast perfekte Chaoten”,"Samuel L. Jackson, Nicolas Cage, Margaret Colin, Brad Dourif",Columbia Pictures/ Castle Rock Entertainment/New Line Cinema,1993,91 min.,247,985
“An Deiner Seite”,"Bruce Willis, Michelle Pfeiffer, Tim Matheson, Rob Reiner, Betty White (I)",Warner Bros./Castle Rock Entertainment,1999,91 min.,351,1143
“Anatomie”,"Franka Potente, Benno Fürmann, Holger Speckhahn",Columbia Pictures,2000,94 min.,337,
“Anatomie 2”,"Heike Makatsch, Franka Potente, August Diehl, Helmut Markwort",Columbia Pictures,2003,97 min.,,12
“Andromeda – Tödlicher Staub aus dem All”,,Universal Pictures,1971,125 min.,296,234
